id,name,aliases,ranked_default_status,source_status,champions_confirmed,available_formats,strict_M_B_status,current_format_status,types,hp,atk,def,spa,spd,spe,abilities,move_count,role_hints
abomasnow,Abomasnow,Abomasnow; abomasnow,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Grass|Ice,90,92,75,92,85,60,Snow Warning; Soundproof,65,slow/bulky; bulky; Protect; Rain Dance
absol,Absol,Absol; absol,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Dark,65,130,60,75,60,75,Pressure; Super Luck; Justified,71,physical attacker; Protect; Rain Dance
aegislash,Aegislash,Aegislash; aegislash,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Steel|Ghost,60,50,140,50,140,60,Stance Change,45,slow/bulky; bulky; Protect; Wide Guard; Rain Dance; Reflect
aegislashblade,Aegislash (Blade),Aegislash (Blade); aegislashblade,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Steel|Ghost,60,140,50,140,50,60,Stance Change,62,slow/bulky; physical attacker; special attacker; Protect; Rain Dance; Reflect
aegislashshield,Aegislash (Shield),Aegislash (Shield); aegislashshield,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Steel|Ghost,60,50,140,50,140,60,Stance Change,62,slow/bulky; bulky; Protect; Rain Dance; Reflect
aerodactyl,Aerodactyl,Aerodactyl; aerodactyl,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Rock|Flying,80,105,65,60,75,130,Rock Head; Pressure; Unnerve,58,fast; Protect; Wide Guard; Tailwind; Rain Dance
aggron,Aggron,Aggron; aggron,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Steel|Rock,70,110,180,60,60,50,Sturdy; Rock Head; Heavy Metal,83,slow/bulky; physical attacker; bulky; Protect; Rain Dance
alakazam,Alakazam,Alakazam; alakazam,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Psychic,55,50,45,135,95,120,Synchronize; Inner Focus; Magic Guard,60,fast; special attacker; Protect; Trick Room; Rain Dance; Reflect; Light Screen
alcremie,Alcremie,Alcremie; alcremie,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fairy,65,60,75,110,121,64,Sweet Veil; Aroma Veil,49,special attacker; bulky; Protect; Light Screen
ninetalesalola,Alolan Ninetales,Alolan Ninetales; alolanninetales; ninetalesalola,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ice|Fairy,73,67,75,81,100,109,Snow Cloak; Snow Warning,64,bulky; Protect; Rain Dance
raichualola,Alolan Raichu,Alolan Raichu; alolanraichu; raichualola,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Electric|Psychic,60,85,50,95,85,110,Surge Surfer,73,fast; Protect; Fake Out; Rain Dance; Reflect; Light Screen
altaria,Altaria,Altaria; altaria,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Dragon|Flying,75,70,90,70,105,80,Natural Cure; Cloud Nine,65,bulky; Protect; Tailwind; Rain Dance
ampharos,Ampharos,Ampharos; ampharos,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Electric,90,75,85,115,90,55,Static; Plus,67,slow/bulky; special attacker; bulky; Protect; Rain Dance; Reflect; Light Screen
annihilape,Annihilape,Annihilape; annihilape,ranked_allowed_champions_confirmed,confirmed,True,M-B,confirmed,M-A:needs_check; M-B:confirmed,Fighting|Ghost,110,115,80,50,90,90,Vital Spirit; Inner Focus; Defiant,75,physical attacker; bulky; Protect; Rain Dance
appletun,Appletun,Appletun; appletun,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Grass|Dragon,110,85,80,100,80,30,Ripen; Gluttony; Thick Fat,51,slow/bulky; bulky; Protect; Rain Dance; Reflect; Light Screen
araquanid,Araquanid,Araquanid; araquanid,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Water|Bug,68,70,92,50,132,42,Water Bubble; Water Absorb,51,slow/bulky; bulky; Protect; Wide Guard; Rain Dance; Reflect
arbok,Arbok,Arbok; arbok,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Poison,60,95,69,65,79,80,Intimidate; Shed Skin; Unnerve,70,Protect; Rain Dance
arcanine,Arcanine,Arcanine; arcanine,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fire,90,110,80,100,80,95,Intimidate; Flash Fire; Justified,67,physical attacker; bulky; Protect
archaludon,Archaludon,Archaludon; archaludon,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Steel|Dragon,90,105,130,125,65,85,Stamina; Sturdy; Stalwart,51,special attacker; bulky; Protect; Reflect; Light Screen
