pokemon_id,pokemon_name,ranked_default_status,strict_M_B_status,move_id,move_name,type,category,power,accuracy,source_status
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,assurance,Assurance,Dark,Physical,60,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,attract,Attract,Normal,Status,,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,avalanche,Avalanche,Ice,Physical,60,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,beatup,Beat Up,Dark,Physical,,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,bite,Bite,Dark,Physical,60,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,blizzard,Blizzard,Ice,Special,110,70,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,bodyslam,Body Slam,Normal,Physical,85,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,brickbreak,Brick Break,Fighting,Physical,75,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,bulldoze,Bulldoze,Ground,Physical,60,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,circlethrow,Circle Throw,Fighting,Physical,60,90,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,counter,Counter,Fighting,Physical,,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,crunch,Crunch,Dark,Physical,80,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,dig,Dig,Ground,Physical,80,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,disable,Disable,Normal,Status,,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,doublehit,Double Hit,Normal,Physical,35,90,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,doubleedge,Double-Edge,Normal,Physical,120,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,drainpunch,Drain Punch,Fighting,Physical,75,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,dynamicpunch,Dynamic Punch,Fighting,Physical,100,50,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,earthquake,Earthquake,Ground,Physical,100,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,endeavor,Endeavor,Normal,Physical,,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,endure,Endure,Normal,Status,,,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,facade,Facade,Normal,Physical,70,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,fakeout,Fake Out,Normal,Physical,40,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,fireblast,Fire Blast,Fire,Special,110,85,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,firepunch,Fire Punch,Fire,Physical,75,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,flamethrower,Flamethrower,Fire,Special,90,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,fling,Fling,Dark,Physical,,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,focusblast,Focus Blast,Fighting,Special,120,70,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,focusenergy,Focus Energy,Normal,Status,,,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,gigaimpact,Giga Impact,Normal,Physical,150,90,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,hammerarm,Hammer Arm,Fighting,Physical,100,90,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,helpinghand,Helping Hand,Normal,Status,,,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,hydropump,Hydro Pump,Water,Special,110,80,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,hyperbeam,Hyper Beam,Normal,Special,150,90,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,icebeam,Ice Beam,Ice,Special,90,100,confirmed
kangaskhan,Kangaskhan,ranked_allowed_champions_confirmed,needs_check,icepunch,Ice Punch,Ice,Physical,75,100,confirmed
