entity_type,id,name,type,category,power,accuracy,pp,description,source_status,extra
move,10000000voltthunderbolt,"10,000,000 Volt Thunderbolt",Electric,Special,195,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,absorb,Absorb,Grass,Special,20,100,20,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,confirmed,
move,accelerock,Accelerock,Rock,Physical,40,100,20,The user smashes into the target at high speed. This move always goes first.,confirmed,
move,acid,Acid,Poison,Special,40,100,20,Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.,confirmed,
move,acidarmor,Acid Armor,Poison,Status,,,20,"The user alters its cellular structure to liquefy itself, sharply boosting its Defense stat.",confirmed,
move,aciddownpourphysical,Acid Downpour,Poison,Physical,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,aciddownpourspecial,Acid Downpour,Poison,Special,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,acidspray,Acid Spray,Poison,Special,40,100,20,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,confirmed,
move,acrobatics,Acrobatics,Flying,Physical,55,100,16,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,confirmed,
move,acupressure,Acupressure,Normal,Status,,,20,"The user applies pressure to stress points, sharply boosting one of its or its allies' stats.",confirmed,
move,aerialace,Aerial Ace,Flying,Physical,60,,20,"The user confounds the target with speed, then slashes. This attack never misses.",confirmed,
move,aeroblast,Aeroblast,Flying,Special,100,95,8,A vortex of air is shot at the target to inflict damage. This move has a heightened chance of landing a critical hit.,confirmed,
move,afteryou,After You,Normal,Status,,,16,The user helps the target and makes it use its move right after the user.,confirmed,
move,agility,Agility,Psychic,Status,,,20,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,confirmed,
move,aircutter,Air Cutter,Flying,Special,60,95,20,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.,confirmed,
move,airslash,Air Slash,Flying,Special,75,95,16,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,confirmed,
move,alloutpummelingphysical,All-Out Pummeling,Fighting,Physical,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,alloutpummelingspecial,All-Out Pummeling,Fighting,Special,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,alluringvoice,Alluring Voice,Fairy,Special,80,100,12,The user attacks the target using its angelic voice. This also confuses the target if its stats have been boosted during the turn.,confirmed,
move,allyswitch,Ally Switch,Psychic,Status,,,16,The user teleports using a strange power and switches places with one of its allies. This move's chance of failing rises if it is used in succession.,confirmed,
move,amnesia,Amnesia,Psychic,Status,,,20,The user temporarily empties its mind to forget its concerns. This sharply boosts the user's Sp. Def stat.,confirmed,
move,anchorshot,Anchor Shot,Steel,Physical,80,100,20,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,confirmed,
move,ancientpower,Ancient Power,Rock,Special,60,100,8,The user attacks with a prehistoric power. This may also boost all the user's stats at once.,confirmed,
move,appleacid,Apple Acid,Grass,Special,90,100,12,The user attacks the target with an acidic liquid created from tart apples. This also lowers the target's Sp. Def stat.,confirmed,
move,aquacutter,Aqua Cutter,Water,Physical,70,100,20,The user expels pressurized water to cut at the target like a blade. This move has a heightened chance of landing a critical hit.,confirmed,
move,aquajet,Aqua Jet,Water,Physical,40,100,20,"The user lunges at the target to inflict damage, moving at blinding speed. This move always goes first.",confirmed,
move,aquaring,Aqua Ring,Water,Status,,,20,The user envelops itself in a veil made of water. It regains some HP every turn.,confirmed,
move,aquastep,Aqua Step,Water,Physical,80,100,12,The user toys with the target and attacks it using light and fluid dance steps. This also boosts the user's Speed stat.,confirmed,
move,aquatail,Aqua Tail,Water,Physical,90,90,12,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,confirmed,
move,armthrust,Arm Thrust,Fighting,Physical,15,100,20,The user attacks the target with open-palmed arm thrusts. This move hits two to five times in a row.,confirmed,
move,armorcannon,Armor Cannon,Fire,Special,120,100,8,The user shoots its own armor out as blazing projectiles. This also lowers the user’s Defense and Sp. Def stats.,confirmed,
move,aromatherapy,Aromatherapy,Grass,Status,,,8,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",confirmed,
move,aromaticmist,Aromatic Mist,Fairy,Status,,,20,The user boosts the Sp. Def stat of an ally Pokémon by using a mysterious aroma.,confirmed,
move,assist,Assist,Normal,Status,,,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,assurance,Assurance,Dark,Physical,60,100,12,This move's power is doubled if the target has already taken some damage in the same turn.,confirmed,
move,astonish,Astonish,Ghost,Physical,30,100,16,The user attacks the target by crying out in a startling fashion. This may also make the target flinch.,confirmed,
move,astralbarrage,Astral Barrage,Ghost,Special,120,100,8,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,confirmed,
move,attackorder,Attack Order,Bug,Physical,90,100,16,The user calls out its underlings to pummel the target. This move has a heightened chance of landing a critical hit.,confirmed,
move,attract,Attract,Normal,Status,,100,16,"If the target is of the opposite gender to the user, it becomes infatuated with the user and will sometimes be unable to use its moves.",confirmed,
move,aurasphere,Aura Sphere,Fighting,Special,80,,20,The user lets loose a pulse of aura power from deep within its body at the target. This attack never misses.,confirmed,
move,aurawheel,Aura Wheel,Electric,Physical,110,100,12,Morpeko attacks and boosts its Speed stat with the energy stored in its cheeks. This move's type changes depending on the user's form.,confirmed,
move,aurorabeam,Aurora Beam,Ice,Special,65,100,20,The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.,confirmed,
move,auroraveil,Aurora Veil,Ice,Status,,,20,This move reduces damage from physical and special moves for five turns. This can be used only when it is snowing.,confirmed,
move,autotomize,Autotomize,Steel,Status,,,16,The user sheds part of its body to make itself lighter and sharply raise its Speed stat.,confirmed,
move,avalanche,Avalanche,Ice,Physical,60,100,12,This move's power is doubled if the target has inflicted damage on the user in the same turn.,confirmed,
move,axekick,Axe Kick,Fighting,Physical,120,90,12,"The user attacks by kicking up into the air and slamming its heel down upon the target. This may also confuse the target. If it misses, the user takes damage instead.",confirmed,
move,babydolleyes,Baby-Doll Eyes,Fairy,Status,,100,20,"The user stares at the target with its baby-doll eyes, which lowers the target's Attack stat. This move always goes first.",confirmed,
move,baddybad,Baddy Bad,Dark,Special,80,95,16,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,banefulbunker,Baneful Bunker,Poison,Status,,,12,"In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact.",confirmed,
move,barbbarrage,Barb Barrage,Poison,Physical,60,100,12,The user launches countless toxic barbs to inflict damage. This may also poison the target. This move’s power is doubled if the target is already poisoned.,confirmed,
move,barrage,Barrage,Normal,Physical,15,85,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,barrier,Barrier,Psychic,Status,,,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,batonpass,Baton Pass,Normal,Status,,,20,The user switches places with a party Pokémon in waiting and passes along any stat changes.,confirmed,
move,beakblast,Beak Blast,Flying,Physical,120,100,8,"The user first heats up its beak, and then it attacks the target. Making direct contact with the user while it's heating up its beak results in a burn.",confirmed,
move,beatup,Beat Up,Dark,Physical,,100,12,"The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks.",confirmed,
move,behemothbash,Behemoth Bash,Steel,Physical,100,100,8,The user becomes a gigantic shield and slams into the target. This move deals twice the damage if the target is Dynamaxed.,confirmed,
move,behemothblade,Behemoth Blade,Steel,Physical,100,100,8,The user becomes a gigantic sword and cuts the target. This move deals twice the damage if the target is Dynamaxed.,confirmed,
move,belch,Belch,Poison,Special,120,90,12,The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.,confirmed,
move,bellydrum,Belly Drum,Normal,Status,,,12,The user maximizes its Attack stat but loses HP equal to half its max HP.,confirmed,
move,bestow,Bestow,Normal,Status,,,16,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,bide,Bide,Normal,Physical,,,12,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,bind,Bind,Normal,Physical,15,85,20,"A long body, tentacles, or the like are used to bind and squeeze the target for four to five turns.",confirmed,
move,bite,Bite,Dark,Physical,60,100,20,The target is bitten with viciously sharp fangs. This may also make the target flinch.,confirmed,
move,bitterblade,Bitter Blade,Fire,Physical,90,100,12,The user focuses its bitter feelings toward the world of the living into a slashing attack. The user's HP is restored by up to half the damage taken by the target.,confirmed,
move,bittermalice,Bitter Malice,Ghost,Special,75,100,12,The user attacks the target with spine-chilling resentment. This also lowers the target’s Attack stat.,confirmed,
move,blackholeeclipsephysical,Black Hole Eclipse,Dark,Physical,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,blackholeeclipsespecial,Black Hole Eclipse,Dark,Special,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,blastburn,Blast Burn,Fire,Special,150,90,8,The target is razed by a fiery explosion. The user can't move on the next turn.,confirmed,
move,blazekick,Blaze Kick,Fire,Physical,85,90,12,The user launches a kick that has a heightened chance of landing a critical hit. This may also leave the target with a burn.,confirmed,
move,blazingtorque,Blazing Torque,Fire,Physical,80,100,12,Has a 30% chance to burn the target.,confirmed,
move,bleakwindstorm,Bleakwind Storm,Flying,Special,100,80,12,The user attacks with savagely cold winds that cause both body and spirit to tremble. This may also lower the Speed stats of opposing Pokémon.,confirmed,
move,blizzard,Blizzard,Ice,Special,110,70,8,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.,confirmed,
move,block,Block,Normal,Status,,,8,The user blocks the target's way with arms spread wide to prevent the target from fleeing.,confirmed,
